Event	ID	Name			Wwise Object Path	Notes
	585720868	Stop_Drone_Motor			\Default Work Unit\Stop_Drone_Motor	
	923015438	Play_Drone_Motor			\Default Work Unit\Play_Drone_Motor	
	1164784286	Play_Temple_Drone			\Default Work Unit\Play_Temple_Drone	
	1371242783	Play_Temple_Chimes			\Default Work Unit\Play_Temple_Chimes	
	1659138091	Play_Typing			\Default Work Unit\Play_Typing	
	2519717329	Play_Electric_Motor			\Default Work Unit\Play_Electric_Motor	
	2983988087	Play_Labo_Room_Tone			\Default Work Unit\Play_Labo_Room_Tone	
	3849115581	Play_Synth_Bips_Sequence			\Default Work Unit\Play_Synth_Bips_Sequence	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1382379429	Drone_Speed			\Default Work Unit\Drone_Speed	

Modulator LFO	ID	Name			Wwise Object Path	Notes
	334815916	Random Pitch LFO			\Default Work Unit\Random Pitch LFO	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\SFX	
	2183308795	Room Tones			\Default Work Unit\Master Audio Bus\Room Tones	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Effect plug-ins	ID	Name	Type				Notes
	1904434771	Medium_Room1	Wwise Matrix Reverb			
	2891462749	Room_Medium_High_Absorbtion	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	32040915	Chimes6	C:\Users\Pyriceti\Desktop\jeu-livre\jeu-livre_WwiseProject\.cache\Mac\SFX\Chimes6_21C98E47.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Temple\Temple\Temple Chimes\Chimes6		1234864
	60223780	Digital Typing	C:\Users\Pyriceti\Desktop\jeu-livre\jeu-livre_WwiseProject\.cache\Mac\SFX\digital_label_A33ED838.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Digital Typing		161004
	101773938	Beep	C:\Users\Pyriceti\Desktop\jeu-livre\jeu-livre_WwiseProject\.cache\Mac\SFX\beep-07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Synth\Synth Bips Sequence\Beep		9722
	126686386	Electric Motor	C:\Users\Pyriceti\Desktop\jeu-livre\jeu-livre_WwiseProject\.cache\Mac\SFX\Electric Motor 2-SoundBible.com-352105994_337F506A.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Synth\Electric Motor		1027720
	152619115	Temple Drone Tonal Rumble	C:\Users\Pyriceti\Desktop\jeu-livre\jeu-livre_WwiseProject\.cache\Mac\SFX\Drone_SciFi_TonalRumble_01_01_D29888D0.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Temple\Temple\Temple Drone\Temple Drone Tonal Rumble		7686024
	365799027	Earthquake	C:\Users\Pyriceti\Desktop\jeu-livre\jeu-livre_WwiseProject\.cache\Mac\SFX\Earthquake_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Earthquake\Earthquake		1949876
